INDEX,X,Y,SEMA,SHAXIAN,LUOLA,DUMU,ZHENBAN,SIGN,PRE_ACTION,POST_ACTION,CMD
,,,,-11,0,,,-,,,line_switch
401,100,5,+0,1,0,0,1,+,-11,-11,
402,99,5,+0,1,0,0,1,+,+11,+11,
403,98,5,+0,1,0,0,1,+,+11,+11,
404,97,5,+0,1,0,0,1,+,+11,+11,
405,96,5,+0,1,0,0,1,+,+11,+11,
406,95,5,+0,1,0,0,1,+,+11,+11,
407,94,5,+0,1,0,0,1,+,+11,+11,
408,93,5,+0,1,0,0,1,+,+11,+11,
409,92,5,+0,1,0,0,1,+,+11,+11,
410,91,5,+0,1,0,0,1,+,+11,+11,
411,90,5,+0,1,0,0,1,+,+11,+11,
412,89,5,+0,1,0,0,1,+,+11,+11,
413,88,5,+0,1,0,0,1,+,+11,+11,
414,87,5,+0,1,0,0,1,+,+11,+11,
415,86,5,+0,1,0,0,1,+,+11,+11,
416,85,5,+0,1,0,0,1,+,+11,+11,
417,84,5,+0,1,0,0,1,+,+11,+11,
418,83,5,+0,1,0,0,1,+,+11,+11,
419,82,5,+0,1,0,0,1,+,+11,+11,
420,81,5,+0,1,0,0,1,+,+11,+11,
421,80,5,+0,1,0,0,1,+,+11,+11,
422,79,5,+0,1,0,0,1,+,+11,+11,
423,78,5,+0,1,0,0,1,+,+11,+11,
424,77,5,+0,1,0,0,1,+,+11,+11,
425,76,5,+0,1,0,0,1,+,+11,+11,
426,75,5,+0,1,0,0,1,+,+11,+11,
427,74,5,+0,1,0,0,1,+,+11,+11,
428,73,5,+0,1,0,0,1,+,+11,+11,
429,72,5,+0,1,0,0,1,+,+11,+11,
430,71,5,+0,1,0,0,1,+,+11,+11,
431,70,5,+0,1,0,0,1,+,+11,+11,
432,69,5,+0,1,0,0,1,+,+11,+11,
433,68,5,+0,1,0,0,1,+,+11,+11,
434,67,5,+0,1,0,0,1,+,+11,+11,
435,66,5,+0,1,0,0,1,+,+11,+11,
436,65,5,+0,1,0,0,1,+,+11,+11,
437,64,5,+0,1,0,0,1,+,+11,+11,
438,63,5,+0,1,0,0,1,+,+11,+11,
439,62,5,+0,1,0,0,1,+,+11,+11,
440,61,5,+0,1,0,0,1,+,+11,+11,
441,60,5,+0,1,0,0,1,+,+11,+11,
442,59,5,+0,1,0,0,1,+,+11,+11,
443,58,5,+0,1,0,0,1,+,+11,+11,
444,57,5,+0,1,0,0,1,+,+11,+11,
445,56,5,+0,1,0,0,1,+,+11,+11,
446,55,5,+0,1,0,0,1,+,+11,+11,
447,54,5,+0,1,0,0,1,+,+11,+11,
448,53,5,+0,1,0,0,1,+,+11,+11,
449,52,5,+0,1,0,0,1,+,+11,+11,
450,51,5,+0,1,0,0,1,+,+11,+11,
451,50,5,+10,1,1,1,1,+,+11,+11,
452,49,5,+10,1,1,1,1,+,+11,+11,
453,48,5,+10,1,1,1,1,+,+11,+11,
454,47,5,+10,1,1,1,1,+,+11,+11,
455,46,5,+10,1,1,1,1,+,+11,+11,
456,45,5,+10,1,1,1,1,+,+11,+11,
457,44,5,+10,1,1,1,1,+,+11,+11,
458,43,5,+10,1,1,1,1,+,+11,+11,
459,42,5,+10,1,1,1,1,+,+11,+11,
460,41,5,+0,1,0,0,1,+,+11,+11,
461,40,5,+0,1,0,0,1,+,+11,+11,
462,39,5,+0,1,0,0,1,+,+11,+11,
463,38,5,+0,1,0,0,1,+,+11,+11,
464,37,5,+0,1,0,0,1,+,+11,+11,
465,36,5,+0,1,0,0,1,+,+11,+11,
466,35,5,+0,1,0,0,1,+,+11,+11,
467,34,5,+0,1,0,0,1,+,+11,+11,
468,33,5,+0,1,0,0,1,+,+11,+11,
469,32,5,+0,1,0,0,1,+,+11,+11,
470,31,5,+0,1,0,0,1,+,+11,+11,
471,30,5,+0,1,0,0,1,+,+11,+11,
472,29,5,+0,1,0,0,1,+,+11,+11,
473,28,5,+0,1,0,0,1,+,+11,+11,
474,27,5,+0,1,0,0,1,+,+11,+11,
475,26,5,+0,1,0,0,1,+,+11,+11,
476,25,5,+0,1,0,0,1,+,+11,+11,
477,24,5,+0,1,0,0,1,+,+11,+11,
478,23,5,+0,1,0,0,1,+,+11,+11,
479,22,5,+0,1,0,0,1,+,+11,+11,
480,21,5,+0,1,0,0,1,+,+11,+11,
481,20,5,+0,1,0,0,1,+,+11,+11,
482,19,5,+0,1,0,0,1,+,+11,+11,
483,18,5,+0,1,0,0,1,+,+11,+11,
484,17,5,+0,1,0,0,1,+,+11,+11,
485,16,5,+0,1,0,0,1,+,+11,+11,
486,15,5,+0,1,0,0,1,+,+11,+11,
487,14,5,+0,1,0,0,1,+,+11,+11,
488,13,5,+0,1,0,0,1,+,+11,+11,
489,12,5,+0,1,0,0,1,+,+11,+11,
490,11,5,+0,1,0,0,1,+,+11,+11,
491,10,5,+0,1,0,0,1,+,+11,+11,
492,9,5,+0,1,0,0,1,+,+11,+11,
493,8,5,+0,1,0,0,1,+,+11,+11,
494,7,5,+0,1,0,0,1,+,+11,+11,
495,6,5,+0,1,0,0,1,+,+11,+11,
496,5,5,+0,1,0,0,1,+,+11,+11,
497,4,5,+0,1,0,0,1,+,+11,+11,
498,3,5,+0,1,0,0,1,+,+11,+11,
499,2,5,+0,1,0,0,1,+,+11,+11,
500,1,5,+0,1,0,0,1,+,+11,+11,
,,,,+11,0,,,+,,,line_switch
501,1,6,-0,1,0,0,1,-,+11,+11,
502,2,6,-0,1,0,0,1,-,-11,-11,
503,3,6,-0,1,0,0,1,-,-11,-11,
504,4,6,-0,1,0,0,1,-,-11,-11,
505,5,6,-0,1,0,0,1,-,-11,-11,
506,6,6,-0,1,0,0,1,-,-11,-11,
507,7,6,-0,1,0,0,1,-,-11,-11,
508,8,6,-0,1,0,0,1,-,-11,-11,
509,9,6,-0,1,0,0,1,-,-11,-11,
510,10,6,-0,1,0,0,1,-,-11,-11,
511,11,6,-0,1,0,0,1,-,-11,-11,
512,12,6,-0,1,0,0,1,-,-11,-11,
513,13,6,-0,1,0,0,1,-,-11,-11,
514,14,6,-0,1,0,0,1,-,-11,-11,
515,15,6,-0,1,0,0,1,-,-11,-11,
516,16,6,-0,1,0,0,1,-,-11,-11,
517,17,6,-0,1,0,0,1,-,-11,-11,
518,18,6,-0,1,0,0,1,-,-11,-11,
519,19,6,-0,1,0,0,1,-,-11,-11,
520,20,6,-0,1,0,0,1,-,-11,-11,
521,21,6,-0,1,0,0,1,-,-11,-11,
